Alabama,22
Alaska,28
Arizona,26
Arkansas,20
California,30
Colorado,36
Connecticut,36
Delaware,28
District of Columbia,
Florida,29
Georgia,27
Hawaii,30
Idaho,24
Illinois,31
Indiana,23
Iowa,25
Kansas,30
Kentucky,21
Louisiana,21
Maine,27
Maryland,36
Massachusetts,39
Michigan,25
Minnesota,32
Mississippi,20
Missouri,26
Montana,29
Nebraska,29
Nevada,22
New Hampshire,33
New Jersey,35
New Mexico,25
New York,33
North Carolina,27
North Dakota,28
Ohio,25
Oklahoma,23
Oregon,29
Pennsylvania,27
Rhode Island,30
South Carolina,25
South Dakota,26
Tennessee,23
Texas,26
Utah,29
Vermont,34
Virginia,34
Washington,31
West Virginia,18
Wisconsin,26
Wyoming,24
